单词,词性和解释,频率,偏意,状态
inherent,a. 固有的，内在的，天生的,高,FALSE,
dwell,vi. 居住,高,FALSE,
hoist,vt. 举起，升起，吊起,低,FALSE,
spouse,n. 配偶,高,FALSE,
outset,n. 开始，开端,中,FALSE,
refrain,"vi. 抑制，克制；戒除
n. 反复句，（诗歌的）叠句；副歌",中,FALSE,
soluble,a. 可溶的,低,FALSE,
reassure,vt. 使…安心；安慰,低,FALSE,
sprout,"vi. 抽条，发芽
n. 芽，幼苗",低,FALSE,
plot,"n. 密谋；小块土地；情节；图表
v. 密谋；策划；划分；绘制",高,TRUE,
magistrate,n. 地方法官，治安官,低,FALSE,
rebellion,n. 叛乱，反抗，起义,低,FALSE,
adhere,vi. 黏附，胶着；坚持,高,FALSE,
opt,vi. 选择，挑选,高,FALSE,
dizzy,a. 头晕目眩的，眩晕的；使人头晕的；极高的,低,TRUE,
accommodate,vt. 留宿，收容；供应，供给；调和；适应,高,FALSE,
hazard,"n. 危险；冒险；危害
vt. 冒险；拼命",高,FALSE,
toxic,a. 有毒的；中毒的,高,FALSE,
quench,vt. 熄灭，扑灭；解（渴）,低,FALSE,
culprit,n. 罪犯；肇事者,低,FALSE,
commonwealth,n. 共和国，联邦，共同体,低,FALSE,
petty,a. 小的；琐碎的；气量小的,低,FALSE,
peel,vt. 削皮，剥皮,低,FALSE,
behalf,n. 利益,高,FALSE,
bang,"n. 砰的一声；猛击，猛撞
v. 发出砰的一声；猛撞到某人（某物）；猛击",中,TRUE,
deduct,vt. 扣除；演绎,中,FALSE,
procession,n. 队伍，行列,高,FALSE,
spot,"n. 点；斑点，污点；地点，场所
v. 认出，认清，发现；玷污，弄脏；用点做记号",高,TRUE,
tutor,"n. 家庭教师，指导教师
vt. 个别指导",中,FALSE,
chancellor,n. 大臣；总理；首席法官；大学校长,中,FALSE,
wedge,"n. 楔，楔形
vt. 楔入；挤进",中,FALSE,
reed,n. 芦苇；芦笛，牧笛,低,FALSE,
strip,"vt. 剥，剥去
n. 窄条，带状物",中,FALSE,
arrogant,a. 傲慢的，自大的,中,FALSE,
hip,n. 臀部，髋部,低,FALSE,
statute,n. 法规，章程，规则,高,FALSE,
oriental,a. 东方的,低,FALSE,
glitter,"n. 光辉，灿烂
vi. 闪耀",中,FALSE,
spoil,vt. 损坏，破坏；宠坏，溺爱,中,TRUE,
bleed,vi. 出血，流血,低,FALSE,
considerate,a. 考虑周到的，体谅的,高,FALSE,
bolt,"n. 螺栓，插销
vt. 闩（门），关窗，拴住",低,FALSE,
banquet,n. 宴会，盛宴,中,FALSE,
aesthetic,a. 美学的，艺术的；审美的,低,FALSE,
solitary,a. 单独的，独自的；单个的，唯一的；孤独的，隐居的,低,FALSE,
kidney,n. 肾脏,低,FALSE,
brittle,a. 易碎的；脆（弱）的,低,FALSE,
scrutiny,n. 仔细观察，详细审查；监督,高,FALSE,
pavement,n. 人行道,低,FALSE,
indignant,a. 愤慨的，愤愤不平的,高,FALSE,
blunt,"a. 率直的；钝的
vt. 使钝；使迟钝；使减弱",中,FALSE,
catastrophe,n. 突然起来的大灾难,低,FALSE,
mechanic,n. 技工，机修工,低,FALSE,
mingle,"vt. 使混合
vi. 相混合；相交往",低,FALSE,
garlic,n. 大蒜，蒜头,低,FALSE,
steward,n. 乘务员；管家,高,FALSE,
sideways,"ad. 向旁边；侧身；横着；斜着
a. 向旁边的；侧身的；横着的；斜着的",中,FALSE,
council,n. 理事会，委员会，议事机构,高,FALSE,
aggravate,vt. 使恶化，加重，加剧,中,FALSE,
tumo(u)r,n. 肿瘤，肿块,低,FALSE,
famine,n. 饥荒,低,FALSE,
expansion,n. 扩张；膨胀；张开，伸展,高,TRUE,
artery,n. 动脉；干线，要道,低,FALSE,
outlet,n. 出路；出口；渠道；发泄方法，排遣；经销店；专营店,高,FALSE,
plague,"n. 瘟疫；祸患，灾害
v. 困扰；给…造成长期的痛苦",中,FALSE,
dread,n./vt. 恐惧，担心,低,FALSE,
handicap,"vt. 妨碍，使不利
n. （身体或智力方面的）缺陷，残疾；障碍，不利条件",中,FALSE,
fleet,n. 舰队，船队,中,FALSE,
renovate,vt. 更新，修复,中,FALSE,
ponder,v. 思索，考虑，沉思,中,FALSE,
perish,vi. 凋谢；丧生；毁灭，消亡,中,FALSE,
molecule,n. 分子,中,FALSE,
disgrace,"n. 失宠；耻辱
vt. 使失宠；玷污，使蒙羞",高,FALSE,
welfare,n. 福利；安宁，幸福,高,FALSE,
diameter,n. 直径,低,FALSE,
brow,n. 眉头；额头,中,FALSE,
contemplate,vt. 盘算，预期；思量，对…周密考虑；注视，凝视,低,FALSE,
spill,"v. 溢出，溅出
n. 摔下，跌下",中,FALSE,
fringe,"n. （窗帘等的）边缘
vt. 成为…的边缘",高,FALSE,
craft,"n. 工艺，手艺；技巧；飞机；飞船；行业；小船，船
v. 精心制作",高,TRUE,
bleak,a. 荒凉的；没有希望的，冷酷的,高,FALSE,
instantaneous,a. 瞬间的，即刻的,中,FALSE,
incur,vt. 招致，惹起；遭受,中,FALSE,
menace,"n. 威胁；危险的人（或物）
vt. 威胁",中,FALSE,
margin,n. 页边空白，边缘；余地；幅度；差额，差距；利润，利润率,中,TRUE,
concise,a. 简明的，简洁的,中,FALSE,
monetary,a. 金融的，货币的,中,FALSE,
nickel,n. 镍；镍币；五美分,低,FALSE,
utmost,"a. 最远的；极度的，极端的
n. 极限，极度；最大可能",高,FALSE,
successive,a. 接连的，连续的,中,FALSE,
specialise/specialize,vi. 专攻；专用于；专业化,高,FALSE,
contemporary,a. 同时代的；现代的，当代的,高,FALSE,
nostalgic,a. 怀旧的,低,FALSE,
rod,n. 杆，棒,中,FALSE,
ribbon,n. 缎带，丝带；带，带状物,低,FALSE,
humble,"a. 谦卑的，恭顺的；低下的，卑贱的；粗鄙的
vt. 降低；贬抑；压下…的锐气",高,FALSE,
savage,"a. 野蛮的，未开化的；凶恶的，残暴的
n. 未开化的人，野人",高,FALSE,
grave,"n. 坟墓
a. 严肃的，庄重的",中,FALSE,
canoe,n. 独木舟，小游艇,低,FALSE,
tedious,a. 乏味的，单调的，冗长的；使人厌烦的,中,FALSE,
civil,a. 公民的，市民的；国内的，民间的；民用的；有礼貌的，文明的；文职的,高,TRUE,
expenditure,n. 花费；（时间、金钱等的）支出，消耗,低,FALSE,
rap,"vt. （轻而快地）敲击，急敲；责备，训斥
n. （轻快的）敲击（声），急敲（声）；说唱音乐",中,TRUE,
leaflet,n. 小叶，嫩叶；传单，活页,中,FALSE,
trial,n. 审讯；试验；考验,高,FALSE,
disperse,v. 分散，驱散，解散,高,FALSE,
despatch/dispatch,"vt. 派遣；发送
n. （公文）急件，快信；新闻报道",低,TRUE,
epidemic,"a. 流行性的；传染的
n. 流行病；（流行病的）传播",中,FALSE,
gang,n. 一帮，一群，一伙,低,FALSE,
knit,"v. 编织，编结；接合，黏合
n. 编织的衣服；针织衫",中,FALSE,
prick,"vt. 刺伤，刺痛；刺孔
n. 刺伤，刺痛",低,FALSE,
soak,v. 吸收；浸泡，浸湿,中,FALSE,
graze,"vt. 放牧（牛、羊等）；擦伤（皮肤等）；擦过，掠过
vi. （牛、羊等）吃青草
n. 擦伤（处）",低,FALSE,
surge,"vi. （波涛等）汹涌，奔腾，波动；（人群等）蜂拥而出
n. （感情等的）洋溢，奔放；急剧上升，猛增；波涛般汹涌奔腾",低,FALSE,
render,vt. 使得，致使；提出，提供，呈报,高,TRUE,
spectacle,n. 景象；奇观；眼镜,中,FALSE,
hedge,"n. 篱笆，树篱；障碍物
vt. 保护…以免；预防",低,FALSE,
entail,vt. 牵涉；使成为必要；限定（地产）继承人,中,FALSE,
grim,a. 讨厌的，糟糕的；严厉的，冷酷的,低,FALSE,
prestige,n. 威信，威望,高,FALSE,
courtesy,n. 谦恭有礼；有礼貌的举止（或言辞）,中,FALSE,
spiritual,a. 精神的，心灵的,高,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
,,,FALSE,
